Linpack,Gflops,Tests
Lr2 base,14.1347,1
L base,18.8689,1
L,8.5281,1
L,8.3221,2
Lr2,10.4756,1
Lr2,9.7224,2
L v s,9.3471,2
Lr2 v s,9.7596,2
