Input data or print help ? Type [data]/help :


Number of equations to solve (problem size): 1000
1000
Leading dimension of array: 100
100
Warning: incorrect parameter Leading dimension of array (100),
must be not less than (1000),
set to default value (1000).
Number of trials to run: 500
64
500
Data alignment value (in Kbytes): 64
Current date/time: Wed Nov 21 23:51:53 2018

CPU frequency:    1.522 GHz
Number of CPUs: 1
Number of cores: 4
Number of threads: 2

Parameters are set to:

Number of tests: 1
Number of equations to solve (problem size) : 1000 
Leading dimension of array                  : 1000 
Number of trials to run                     : 500  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used=8085536, at the size=1000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   64     0.047      14.1403  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1477  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1517  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1463  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.2631  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1466  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1736  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1535  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1714  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1463  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1814  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1520  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1853  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1766  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1582  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1685  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1592  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1571  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1454  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1657  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.0875  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1514  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1826  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1595  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1505  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1096  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1526  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1637  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1376  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1712  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1457  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1723  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.047      14.1517  9.419757e-13 3.212379e-02   pass
