Input data or print help ? Type [data]/help :


Number of equations to solve (problem size): 1000
1000
Leading dimension of array: 100
100
Warning: incorrect parameter Leading dimension of array (100),
must be not less than (1000),
set to default value (1000).
Number of trials to run: 500
64
500
Data alignment value (in Kbytes): 64
Current date/time: Wed Nov 21 23:52:37 2018

CPU frequency:    1.522 GHz
Number of CPUs: 1
Number of cores: 4
Number of threads: 4

Parameters are set to:

Number of tests: 1
Number of equations to solve (problem size) : 1000 
Leading dimension of array                  : 1000 
Number of trials to run                     : 500  
Data alignment value (in Kbytes)            : 64   

Maximum memory requested that can be used=8085536, at the size=1000

=================== Timing linear equation system solver ===================

Size   LDA    Align. Time(s)    GFlops   Residual     Residual(norm) Check
1000   1000   64     0.035      18.9805  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8002  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0395  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9392  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9290  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0454  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1037  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1081  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6689  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6736  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9209  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0568  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6300  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9799  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0863  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9693  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5617  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0687  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9226  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9199  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9671  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5973  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8793  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7196  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9833  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9386  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0211  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7886  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6363  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9789  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6503  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6309  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9119  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7970  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0124  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7260  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9936  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1546  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1108  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7134  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9439  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0281  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9897  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2130  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1037  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0558  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0124  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9311  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9355  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0357  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1364  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0293  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6925  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7416  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0373  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6503  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9199  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0021  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9973  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0743  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1179  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0786  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9365  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0064  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0813  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1337  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9318  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0492  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6800  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0895  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9520  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7785  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9865  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9505  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9622  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8863  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9956  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0027  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9784  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0493  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7302  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6841  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7544  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0297  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.2007  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6227  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9719  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9801  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6783  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9263  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6950  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9946  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0873  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7265  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9268  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9715  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9978  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9301  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9914  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9628  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9843  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5860  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6596  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7170  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0043  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9510  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0097  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0753  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1321  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1211  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1032  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8230  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0743  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7306  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9199  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0254  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9001  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9735  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7559  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9194  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0449  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0108  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9806  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9322  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0324  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0330  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9371  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0721  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9731  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7155  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8750  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1534  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9968  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1453  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9097  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9747  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6477  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9114  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9848  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9936  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0524  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0900  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9617  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8400  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9402  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0665  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0449  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8708  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.6591  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9730  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9961  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0677  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9515  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0266  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0335  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9370  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7260  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0536  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9435  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9059  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0357  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1353  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0313  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.8948  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7486  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.5891  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7034  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9617  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0362  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7423  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.8267  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.1738  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0982  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0444  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9698  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0541  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      18.9348  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.035      19.0568  9.419757e-13 3.212379e-02   pass
1000   1000   64     0.036      18.7538  9.419757e-13 3.212379e-02   pass
